"SUID","interaction","name","selected","shared interaction","shared name"
"9517","child_of","","false","child_of",""
"7505","child_of","","false","child_of",""
"8657","child_of","","false","child_of",""
"7332","child_of","","false","child_of",""
"8414","linked_to","","false","linked_to",""
"4867","linked_to","","false","linked_to",""
"4556","child_of","","false","child_of",""
"9436","child_of","","false","child_of",""
"8370","linked_to","","false","linked_to",""
"8099","linked_to","","false","linked_to",""
"4455","child_of","","false","child_of",""
"7227","child_of","","false","child_of",""
"8580","child_of","","false","child_of",""
"9770","child_of","","false","child_of",""
"8336","child_of","","false","child_of",""
"9782","child_of","","false","child_of",""
"5332","child_of","","false","child_of",""
"7509","child_of","","false","child_of",""
"9096","child_of","","false","child_of",""
"4235","linked_to","","false","linked_to",""
"5152","child_of","","false","child_of",""
"5395","child_of","","false","child_of",""
"8421","linked_to","","false","linked_to",""
"5728","child_of","","false","child_of",""
"6872","linked_to","","false","linked_to",""
"6507","linked_to","","false","linked_to",""
"9317","linked_to","","false","linked_to",""
"8331","child_of","","false","child_of",""
"5461","child_of","","false","child_of",""
"4948","linked_to","","false","linked_to",""
"5922","child_of","","false","child_of",""
"6592","child_of","","false","child_of",""
"9397","child_of","","false","child_of",""
"4294","linked_to","","false","linked_to",""
"5011","child_of","","false","child_of",""
"8250","child_of","","false","child_of",""
"4497","linked_to","","false","linked_to",""
"8656","linked_to","","false","linked_to",""
"7876","child_of","","false","child_of",""
"7534","child_of","","false","child_of",""
"8868","child_of","","false","child_of",""
"7840","child_of","","false","child_of",""
"6031","child_of","","false","child_of",""
"7491","child_of","","false","child_of",""
"6496","child_of","","false","child_of",""
"4718","child_of","","false","child_of",""
"6380","child_of","","false","child_of",""
"7585","child_of","","false","child_of",""
"5763","child_of","","false","child_of",""
"6749","child_of","","false","child_of",""
"4343","linked_to","","false","linked_to",""
"7931","linked_to","","false","linked_to",""
"7992","child_of","","false","child_of",""
"4266","child_of","","false","child_of",""
"8686","linked_to","","false","linked_to",""
"7492","linked_to","","false","linked_to",""
"7932","linked_to","","false","linked_to",""
"8155","linked_to","","false","linked_to",""
"4681","child_of","","false","child_of",""
"7816","child_of","","false","child_of",""
"6844","child_of","","false","child_of",""
"8428","linked_to","","false","linked_to",""
"8117","child_of","","false","child_of",""
"7752","child_of","","false","child_of",""
"8541","child_of","","false","child_of",""
"8804","child_of","","false","child_of",""
"6344","child_of","","false","child_of",""
"5107","linked_to","","false","linked_to",""
"7737","child_of","","false","child_of",""
"7697","child_of","","false","child_of",""
