nexo_id	name	definition	comment
9211	CC: proteasome regulatory particle, base subcomplex | BP: positive regulation of RNA polymerase II transcriptional preinitiation complex assembly | MF:	CC_def: The subcomplex of the proteasome regulatory particle that directly associates with the proteasome core complex. | BP_def: Any process that activates or increases the frequency, rate or extent of RNA polymerase II transcriptional preinitiation complex assembly. | MF_def:	robustness:5.24234688469182 density:1 bootstrap:0.45536799 cc_score:0.311029 bp_score:0.204383 mf_score:0.0
5473	CC:  | BP:  | MF:sterol esterase activity	CC_def:  | BP_def:  | MF_def:Catalysis of the reaction: a steryl ester + H2O = a sterol + a fatty acid.	robustness:1.67982897611275 density:0.1 bootstrap:0.75385646 cc_score:0.0 bp_score:0.0 mf_score:0.118614
9052	CC:  | BP: transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery | MF:	CC_def:  | BP_def: The chromosome organization process in which the DNA sequence containing a gene transcribed by RNA polymerase II is maintained in a specific location at the nuclear periphery. In S. cerevisiae, this process involves cis-acting DNA sequences such as the TATA box and upstream activating sequence (UAS) elements, trans-acting transcriptional activators, and also the 3'-UTR of the transcript. | MF_def:	robustness:2.8215868154062 density:0.666666666666667 bootstrap:0.72553735 cc_score:0.0 bp_score:0.143256 mf_score:0.0
5611	CC:  | BP:  | MF:thioredoxin peroxidase activity	CC_def:  | BP_def:  | MF_def:Catalysis of the reaction: thioredoxin + hydrogen peroxide = thioredoxin disulfide + H2O.	robustness:2.20359978272986 density:1 bootstrap:0.804613451 cc_score:0.0 bp_score:0.0 mf_score:0.112565
6509	CC:  | BP:  | MF:polyol transmembrane transporter activity	CC_def:  | BP_def:  | MF_def:Catalysis of the transfer of a polyol from one side of the membrane to the other. A polyol is any polyhydric alcohol.	robustness:1.58946752173726 density:0.333333333333333 bootstrap:0.511543277 cc_score:0.0 bp_score:0.0 mf_score:0.141895
7297	CC: outer plaque of spindle pole body | BP:  | MF:	CC_def: One of three laminate structures that form the spindle pole body; the outer plaque is in the cytoplasm. | BP_def:  | MF_def:	robustness:3.89638671525674 density:1 bootstrap:0.83853711 cc_score:0.531257 bp_score:0.0405881 mf_score:0.0
8859	CC:  | BP: base-excision repair, base-free sugar-phosphate removal | MF:	CC_def:  | BP_def: Excision of the sugar phosphate residue at an AP site, i.e. a deoxyribose sugar with a missing base, by a phosphodiesterase enzyme. | MF_def:	robustness:1.70031810681835 density:0.333333333333333 bootstrap:0.585382081 cc_score:0.0 bp_score:0.270248 mf_score:0.0677188
8513	CC:  | BP: GO:2001043 | MF:	CC_def:  | BP_def:  | MF_def:	robustness:2.06533264990263 density:1 bootstrap:0.70680867 cc_score:0.0 bp_score:0.445655 mf_score:0.0
5225	CC:  | BP:  | MF:adenosylmethionine-8-amino-7-oxononanoate transaminase activity	CC_def:  | BP_def:  | MF_def:Catalysis of the reaction: 8-amino-7-oxononanoate + S-adenosyl-L-methionine(1+) = 7,8-diaminononanoate + S-adenosyl-4-methylthio-2-oxobutanoate.	robustness:0 density:0 bootstrap:0.92162122 cc_score:0.0 bp_score:0.0929843 mf_score:0.439776
5855	CC:  | BP:  | MF:AMP binding	CC_def:  | BP_def:  | MF_def:Interacting selectively and non-covalently with AMP, adenosine monophosphate.	robustness:2.31409397177053 density:1 bootstrap:0.88732727 cc_score:0.0 bp_score:0.0 mf_score:0.175594
8992	CC:  | BP: negative regulation of sequence-specific DNA binding transcription factor activity | MF:	CC_def:  | BP_def: Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of a transcription factor, any factor involved in the initiation or regulation of transcription. | MF_def:	robustness:3.71513191456891 density:1 bootstrap:0.762336401 cc_score:0.0 bp_score:0.126664 mf_score:0.0
5722	CC:  | BP: inosine metabolic process | MF:nucleotidase activity	CC_def:  | BP_def: The chemical reactions and pathways involving inosine, hypoxanthine riboside, a nucleoside found free but not in combination in nucleic acids except in the anticodons of some tRNAs. | MF_def:Catalysis of the reaction: a nucleotide + H2O = a nucleoside + phosphate.	robustness:1.68573633826405 density:0.333333333333333 bootstrap:0.57538477 cc_score:0.0 bp_score:0.205 mf_score:0.163064
6259	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:2.35793788155503 density:1 bootstrap:0.92126923 cc_score:0.0 bp_score:0.0 mf_score:0.0
9025	CC:  | BP: mRNA splice site selection | MF:U1 snRNA binding	CC_def:  | BP_def: Selection of a splice site by components of the assembling spliceosome. | MF_def:Interacting selectively and non-covalently with the U1 small nuclear RNA (U1 snRNA).	robustness:4.64559777852364 density:1 bootstrap:0.59600208 cc_score:0.0 bp_score:0.154764 mf_score:0.442823
9600	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:7.50553848995728 density:1 bootstrap:0.444469674 cc_score:0.0 bp_score:0.0486137 mf_score:0.0
5386	CC:  | BP: ceramide metabolic process | MF:	CC_def:  | BP_def: The chemical reactions and pathways involving ceramides, any N-acylated sphingoid. | MF_def:	robustness:3.52258062143269 density:0.5 bootstrap:0.82095557 cc_score:0.0 bp_score:0.165297 mf_score:0.0616224
7153	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:3.35124296400478 density:0.5 bootstrap:0.743035564 cc_score:0.0 bp_score:0.0 mf_score:0.0
9404	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:3.62421822422824 density:0.0404858299595142 bootstrap:0.219928145 cc_score:0.0 bp_score:0.0331685 mf_score:0.0
9266	CC: mismatch repair complex | BP: meiotic mismatch repair | MF:mismatched DNA binding	CC_def: Any complex formed of proteins that act in mismatch repair. | BP_def: A system for the identification and correction of base-base mismatches, small insertion-deletion loops, and regions of heterology that are present in duplex DNA formed with strands from two recombining molecules. Correction of the mismatch can result in non-Mendelian segregation of alleles following meiosis. | MF_def:Interacting selectively and non-covalently with double-stranded DNA containing one or more mismatches.	robustness:7.17019284569348 density:0.607142857142857 bootstrap:0.5996069 cc_score:0.434856 bp_score:0.263801 mf_score:0.560064
7080	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:2.80359048883235 density:0.0888888888888889 bootstrap:0.638669289 cc_score:0.0 bp_score:0.0 mf_score:0.0
6568	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.68260038 cc_score:0.0 bp_score:0.0 mf_score:0.0
7505	CC:  | BP: regulation of dipeptide transport | MF:	CC_def:  | BP_def: Any process that modulates the rate, frequency or extent of dipeptide transport. Dipeptide transport is the directed movement of a dipeptide, a combination of two amino acids by means of a peptide (-CO-NH-) link, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. | MF_def:	robustness:0 density:0 bootstrap:0.347054482 cc_score:0.0 bp_score:0.133559 mf_score:0.0
7160	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.302790206 cc_score:0.0 bp_score:0.0108462 mf_score:0.0
8022	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:0 density:0 bootstrap:0.446164576 cc_score:0.0 bp_score:0.0 mf_score:0.0
7776	CC:  | BP:  | MF:TFIIH-class transcription factor binding	CC_def:  | BP_def:  | MF_def:Interacting selectively and non-covalently with a basal RNA polymerase II transcription factor of the TFIIH class, one of the factors involved in formation of the preinitiation complex (PIC) by RNA polymerase II and defined as a basal or general transcription factor.	robustness:5.857395731628 density:0.666666666666667 bootstrap:0.655314407 cc_score:0.0 bp_score:0.0 mf_score:0.115188
6316	CC:  | BP: regulation of transcription from RNA polymerase II promoter in response to iron | MF:	CC_def:  | BP_def: Any process that modulates the frequency, rate or extent of transcription from an RNA polymerase II promoter in response to an iron stimulus. | MF_def:	robustness:2.30881638529001 density:0.2 bootstrap:0.6440949 cc_score:0.0 bp_score:0.28994 mf_score:0.0
8717	CC:  | BP: positive regulation of nuclear-transcribed mRNA poly(A) tail shortening | MF:	CC_def:  | BP_def: Any process that increases the frequency, rate or extent of poly(A) tail shortening of a nuclear-transcribed mRNA. Poly(A) tail shortening is the decrease in length of the poly(A) tail of an mRNA from full length to an oligo(A) length. | MF_def:	robustness:6.70098225821005 density:1 bootstrap:0.74402568 cc_score:0.0 bp_score:0.15979 mf_score:0.0822326
6834	CC:  | BP:  | MF:	CC_def:  | BP_def:  | MF_def:	robustness:2.16032055815639 density:0.2 bootstrap:0.563906974 cc_score:0.0 bp_score:0.0 mf_score:0.0
7067	CC: chromosome passenger complex | BP: mitotic spindle disassembly | MF:	CC_def: A eukaryotically conserved protein complex that localizes to kinetochores in early mitosis, the spindle mid-zone in anaphase B and to the telophase midbody. It has been proposed that the passenger complex coordinates various events based on its location to different structures during the course of mitosis. Complex members include the BIR-domain-containing protein Survivin, Aurora B kinase, INCENP and Borealin. | BP_def: The controlled breakdown of the spindle during a mitotic cell cycle. | MF_def:	robustness:2.06791440609284 density:1 bootstrap:0.708576858 cc_score:0.44278 bp_score:0.293332 mf_score:0.0591518
