start	end	type
4094	1074	child_of
3850	1062	child_of
3297	1949	child_of
288	139	child_of
139	2578	child_of
41	1392	child_of
41	3557	linked_to
41	930	linked_to
429	2803	child_of
429	1104	linked_to
2645	805	child_of
2490	714	child_of
2769	3347	child_of
3347	431	child_of
3836	2310	child_of
236	109	child_of
141	1496	child_of
141	1137	linked_to
1807	3053	child_of
1501	2365	child_of
1501	2518	linked_to
1501	1952	linked_to
1501	2833	linked_to
1952	768	child_of
1081	2185	child_of
1033	250	child_of
3767	2102	child_of
3767	3721	linked_to
3941	180	child_of
799	782	child_of
2463	818	child_of
1929	206	child_of
1153	2291	child_of
3862	3577	child_of
661	3766	child_of
3134	1473	child_of
2489	3166	child_of
2489	1987	linked_to
2489	170	linked_to
2089	1411	child_of
3055	1521	child_of
1521	51	child_of
1411	3456	child_of
1792	2025	child_of
1234	1117	child_of
2301	738	child_of
2797	3515	child_of
2797	1628	linked_to
4120	3705	child_of
3435	539	child_of
3435	1167	linked_to
432	1840	child_of
432	2193	linked_to
432	2599	linked_to
432	1561	linked_to
3869	1993	child_of
896	407	child_of
2348	2508	child_of
1973	1532	child_of
1261	819	child_of
1261	3370	linked_to
3116	1418	child_of
3882	3905	child_of
10	3159	child_of
392	3282	child_of
2267	816	child_of
2267	116	linked_to
2735	2132	child_of
1456	3167	child_of
2035	3882	child_of
907	2503	child_of
907	1587	linked_to
907	1041	linked_to
907	2688	linked_to
3985	1189	child_of
3985	279	linked_to
3851	2433	child_of
3323	3062	child_of
3323	3665	linked_to
3323	2724	linked_to
3323	2699	linked_to
3323	2224	linked_to
3741	3623	child_of
2954	295	child_of
2954	2447	linked_to
460	1885	child_of
503	264	child_of
503	1790	linked_to
518	3846	child_of
806	4015	child_of
3282	1189	child_of
2111	600	child_of
2866	3779	child_of
2866	2631	linked_to
3374	2095	child_of
521	651	child_of
521	1855	linked_to
521	37	linked_to
521	3010	linked_to
521	2547	linked_to
939	694	child_of
2006	2747	child_of
1149	3372	child_of
1149	2724	linked_to
2140	1591	child_of
2778	1101	child_of
549	3333	child_of
3678	3668	child_of
3678	1080	linked_to
3515	1096	child_of
2837	1418	child_of
1128	4100	child_of
1793	1060	child_of
1392	2544	child_of
869	2936	child_of
54	2935	child_of
54	2992	linked_to
54	1146	linked_to
54	1861	linked_to
774	3126	child_of
3158	3540	child_of
3533	3616	child_of
2572	1568	child_of
2572	3450	linked_to
2572	2415	linked_to
