NeXO Term	SGD Gene ID
5481	S000000001
8841	S000000002
8891	S000000002
7943	S000000002
9015	S000000002
7389	S000000002
9650	S000000002
6652	S000000003
7916	S000000003
8480	S000000003
7519	S000000004
6795	S000000004
8303	S000000004
8091	S000000004
9592	S000000004
5538	S000000004
7857	S000000004
7987	S000000004
6366	S000000004
9335	S000000004
7214	S000000004
6814	S000000004
7669	S000000004
7661	S000000004
7660	S000000004
5506	S000000004
5501	S000000004
8026	S000000004
6228	S000000004
8854	S000000004
8535	S000000004
8140	S000000004
6892	S000000004
8704	S000000004
7833	S000000004
8994	S000000004
9776	S000000004
8867	S000000004
8041	S000000004
6240	S000000004
7550	S000000004
7554	S000000004
7178	S000000004
9597	S000000004
9955	S000000004
9366	S000000004
9564	S000000004
9012	S000000004
8618	S000000004
8470	S000000004
7963	S000000004
7967	S000000004
7597	S000000004
7361	S000000004
7487	S000000004
5838	S000000004
9211	S000000004
5234	S000000004
6888	S000000004
9289	S000000004
6651	S000000004
9152	S000000004
9015	S000000004
5224	S000000004
8292	S000000004
8424	S000000004
7753	S000000004
9239	S000000004
7356	S000000004
5102	S000000004
8755	S000000004
8924	S000000004
6867	S000000004
8654	S000000004
7286	S000000004
5976	S000000004
6290	S000000004
9041	S000000004
7422	S000000004
6602	S000000004
9072	S000000004
8159	S000000004
8341	S000000004
9165	S000000004
7192	S000000004
9011	S000000004
7374	S000000004
9112	S000000004
9115	S000000004
9064	S000000004
5664	S000000004
7255	S000000004
7624	S000000004
8576	S000000004
9302	S000000004
7247	S000000004
9780	S000000004
8969	S000000004
8215	S000000004
8101	S000000004
6957	S000000004
8580	S000000004
8587	S000000004
6636	S000000004
8337	S000000004
7876	S000000004
9089	S000000004
9086	S000000004
9318	S000000004
9312	S000000004
6894	S000000004
8822	S000000004
7920	S000000004
8487	S000000004
8672	S000000005
8309	S000000005
5695	S000000005
7386	S000000005
5695	S000000006
7386	S000000006
6360	S000000007
5195	S000000008
7152	S000000008
5356	S000000008
8331	S000000008
8510	S000000008
6583	S000000008
7169	S000000008
9508	S000000009
7051	S000000009
6903	S000000009
9920	S000000009
7802	S000000009
8785	S000000009
7437	S000000009
6902	S000000009
9264	S000000009
6369	S000000009
9312	S000000009
8398	S000000009
6217	S000000010
6216	S000000010
7750	S000000010
8520	S000000011
7484	S000000011
7038	S000000011
8921	S000000011
9073	S000000011
8219	S000000011
9568	S000000012
8891	S000000012
9015	S000000012
8226	S000000012
7645	S000000012
6806	S000000013
9920	S000000013
7613	S000000013
6469	S000000013
7065	S000000014
8639	S000000014
8505	S000000014
8651	S000000014
8158	S000000014
8372	S000000014
8189	S000000014
7446	S000000015
5863	S000000015
8661	S000000015
6915	S000000015
8817	S000000015
7519	S000000018
8140	S000000018
7368	S000000018
6330	S000000018
8387	S000000019
6810	S000000019
8870	S000000019
9105	S000000019
8676	S000000019
7342	S000000019
8909	S000000019
8550	S000000019
9347	S000000021
9365	S000000021
8618	S000000021
7972	S000000021
9037	S000000021
8275	S000000021
5209	S000000021
7386	S000000021
8962	S000000021
7877	S000000021
8639	S000000022
6513	S000000022
9713	S000000022
8505	S000000022
8189	S000000022
7832	S000000023
6238	S000000023
8765	S000000023
8668	S000000023
8427	S000000023
9278	S000000023
7413	S000000023
7257	S000000023
7259	S000000023
9450	S000000023
8968	S000000023
8368	S000000023
8013	S000000024
8110	S000000024
6367	S000000024
7541	S000000024
5665	S000000024
7371	S000000024
8114	S000000024
8498	S000000025
9180	S000000025
7376	S000000025
8292	S000000025
5185	S000000026
9713	S000000026
9707	S000000027
8921	S000000027
8228	S000000027
8103	S000000027
6796	S000000028
9920	S000000028
7808	S000000028
9030	S000000028
9015	S000000028
9338	S000000028
8227	S000000028
8342	S000000028
8539	S000000029
5399	S000000029
8028	S000000030
9597	S000000030
9920	S000000030
9535	S000000030
8813	S000000030
8587	S000000030
8393	S000000030
5619	S000000031
7915	S000000031
5324	S000000031
7185	S000000032
7362	S000000032
7361	S000000032
8323	S000000032
8592	S000000032
9519	S000000033
9538	S000000033
9533	S000000033
8688	S000000033
9550	S000000033
9535	S000000033
6664	S000000033
9403	S000000033
9402	S000000033
8782	S000000033
9587	S000000033
8909	S000000033
8696	S000000033
9615	S000000033
9081	S000000033
8124	S000000034
5274	S000000034
9780	S000000034
8037	S000000036
9012	S000000036
7593	S000000036
9920	S000000036
7392	S000000036
6146	S000000037
5827	S000000037
5609	S000000038
9184	S000000038
7834	S000000038
8992	S000000038
9713	S000000038
8922	S000000038
9265	S000000038
9318	S000000038
8773	S000000038
8954	S000000039
9351	S000000039
9137	S000000039
8047	S000000039
9707	S000000039
7487	S000000039
8421	S000000039
7705	S000000039
7898	S000000039
9076	S000000039
9278	S000000039
8956	S000000039
6344	S000000040
8309	S000000040
7832	S000000041
9351	S000000041
7363	S000000041
7590	S000000041
7286	S000000041
6954	S000000041
8956	S000000041
8957	S000000041
6779	S000000043
6340	S000000043
6539	S000000043
6848	S000000043
8342	S000000043
7782	S000000044
7271	S000000044
9749	S000000045
9048	S000000045
8841	S000000045
7297	S000000045
9668	S000000045
5195	S000000046
7169	S000000046
6700	S000000047
7955	S000000047
8187	S000000048
5733	S000000048
8414	S000000048
6118	S000000048
6132	S000000048
6878	S000000049
7454	S000000049
8130	S000000049
7877	S000000049
7211	S000000050
7209	S000000050
7158	S000000050
7627	S000000050
7324	S000000051
7998	S000000051
8520	S000000051
7038	S000000051
8219	S000000051
6551	S000000051
8835	S000000052
6260	S000000052
8414	S000000052
8656	S000000052
8190	S000000052
7255	S000000052
6132	S000000052
6313	S000000052
5325	S000000052
7503	S000000052
8762	S000000054
9344	S000000054
9347	S000000054
9365	S000000054
8475	S000000054
9306	S000000054
8765	S000000054
8764	S000000054
7809	S000000054
7972	S000000054
8275	S000000054
8512	S000000054
8358	S000000054
9204	S000000054
9470	S000000054
7877	S000000054
7857	S000000055
6686	S000000055
7774	S000000055
9112	S000000055
9657	S000000055
9780	S000000055
8779	S000000055
5220	S000000056
5509	S000000058
9920	S000000058
6939	S000000058
9749	S000000059
7538	S000000059
7999	S000000059
7821	S000000059
7384	S000000059
7468	S000000059
8755	S000000062
6387	S000000062
9780	S000000062
9430	S000000063
9292	S000000063
8898	S000000063
8410	S000000063
8534	S000000063
6317	S000000063
9092	S000000063
9657	S000000063
8589	S000000063
9089	S000000063
8464	S000000064
7484	S000000064
7232	S000000064
9210	S000000064
9113	S000000064
9830	S000000064
8236	S000000064
8956	S000000064
8498	S000000065
9292	S000000065
9776	S000000065
8466	S000000065
5838	S000000065
8214	S000000065
7572	S000000065
7383	S000000065
9830	S000000065
9571	S000000065
9096	S000000065
8215	S000000065
8480	S000000065
5403	S000000066
5972	S000000067
9165	S000000067
9318	S000000067
6878	S000000069
8635	S000000069
8639	S000000069
8662	S000000069
8308	S000000069
8512	S000000069
9076	S000000069
9265	S000000069
8773	S000000069
6253	S000000070
7590	S000000070
6602	S000000070
9165	S000000070
7384	S000000070
7305	S000000071
8651	S000000071
7877	S000000071
8719	S000000072
9038	S000000072
9713	S000000072
8505	S000000072
6234	S000000075
9920	S000000075
6235	S000000076
8292	S000000077
6262	S000000077
8774	S000000077
9615	S000000077
5836	S000000078
5311	S000000079
5967	S000000080
5504	S000000081
8881	S000000081
6739	S000000081
6867	S000000081
5115	S000000083
9780	S000000083
7983	S000000084
9409	S000000084
6347	S000000084
8992	S000000084
7919	S000000084
9289	S000000084
6289	S000000084
8514	S000000084
9112	S000000084
9064	S000000084
6563	S000000084
9780	S000000084
5129	S000000089
6790	S000000094
8851	S000000094
7915	S000000094
7607	S000000094
6293	S000000095
9587	S000000095
8746	S000000098
9776	S000000098
8753	S000000098
7838	S000000098
9920	S000000098
8507	S000000098
8284	S000000098
9047	S000000098
9830	S000000098
9096	S000000098
7444	S000000099
9508	S000000099
9430	S000000099
8746	S000000099
9199	S000000099
9776	S000000099
8466	S000000099
9564	S000000099
8753	S000000099
8079	S000000099
8242	S000000099
8507	S000000099
8284	S000000099
8438	S000000099
9047	S000000099
7607	S000000099
7605	S000000099
9587	S000000099
9073	S000000099
9113	S000000099
9830	S000000099
9096	S000000099
8876	S000000099
9382	S000000099
7527	S000000100
9335	S000000100
9524	S000000100
9291	S000000100
8853	S000000100
8852	S000000100
8854	S000000100
8459	S000000100
8994	S000000100
9564	S000000100
8070	S000000100
8261	S000000100
7679	S000000100
5648	S000000101
8130	S000000101
9749	S000000103
8034	S000000103
7602	S000000103
6160	S000000103
9351	S000000103
7239	S000000103
9365	S000000103
9373	S000000103
5069	S000000103
9920	S000000103
9427	S000000103
8896	S000000103
7955	S000000103
9055	S000000103
6933	S000000103
9264	S000000103
9077	S000000103
9079	S000000103
7121	S000000103
8119	S000000103
7243	S000000103
8962	S000000103
6494	S000000103
7833	S000000104
8494	S000000104
9301	S000000104
9302	S000000104
6262	S000000105
9615	S000000105
7553	S000000106
5064	S000000107
5896	S000000109
7775	S000000109
8085	S000000109
8648	S000000109
8500	S000000110
6811	S000000110
5936	S000000110
5934	S000000110
5241	S000000110
9676	S000000110
8949	S000000111
7997	S000000111
7038	S000000111
6588	S000000111
8398	S000000111
8954	S000000112
6536	S000000112
8539	S000000112
9351	S000000112
8992	S000000112
9137	S000000112
9427	S000000112
7158	S000000112
6488	S000000112
8922	S000000112
7853	S000000112
7241	S000000112
8773	S000000112
8000	S000000112
8499	S000000113
8841	S000000113
8464	S000000113
7158	S000000113
9015	S000000113
9126	S000000113
8226	S000000113
8227	S000000113
8894	S000000113
9064	S000000113
9650	S000000113
6896	S000000113
5713	S000000114
7915	S000000114
5324	S000000114
6469	S000000115
8078	S000000117
6715	S000000117
8565	S000000117
7635	S000000117
7894	S000000117
8104	S000000117
7893	S000000117
7667	S000000119
9199	S000000119
9428	S000000119
8214	S000000119
8410	S000000119
7270	S000000119
7354	S000000119
8656	S000000119
8438	S000000119
5593	S000000119
9096	S000000119
7244	S000000119
8968	S000000119
8817	S000000119
8215	S000000119
7051	S000000120
8785	S000000120
9668	S000000120
8398	S000000120
8500	S000000121
5936	S000000121
5934	S000000121
7685	S000000122
9597	S000000122
7789	S000000122
7365	S000000122
9105	S000000122
9450	S000000122
6839	S000000122
9385	S000000122
9250	S000000123
9519	S000000123
9816	S000000123
9249	S000000123
9538	S000000123
9241	S000000123
9533	S000000123
8748	S000000123
9503	S000000123
9500	S000000123
9505	S000000123
9561	S000000123
9239	S000000123
9051	S000000123
8912	S000000123
9615	S000000123
9291	S000000124
5695	S000000124
8774	S000000124
6951	S000000124
8835	S000000125
6453	S000000125
6260	S000000125
7503	S000000125
6305	S000000125
7197	S000000126
7801	S000000126
8648	S000000126
8573	S000000126
6949	S000000126
9749	S000000127
6818	S000000127
7307	S000000127
8924	S000000127
8921	S000000127
8536	S000000127
8368	S000000127
9249	S000000128
7598	S000000128
7999	S000000128
7825	S000000128
8240	S000000128
9535	S000000128
8756	S000000128
8921	S000000128
6327	S000000128
9470	S000000128
8960	S000000128
8301	S000000130
9356	S000000130
8043	S000000130
8047	S000000130
9707	S000000130
8881	S000000130
9607	S000000130
9152	S000000130
8260	S000000130
8341	S000000130
9668	S000000130
8530	S000000130
8791	S000000130
9592	S000000131
7444	S000000131
8199	S000000131
9428	S000000131
6860	S000000131
8968	S000000131
8196	S000000131
8481	S000000131
6288	S000000132
8654	S000000132
6149	S000000133
6182	S000000133
6793	S000000134
7218	S000000134
6241	S000000134
7825	S000000134
7824	S000000134
7020	S000000134
6888	S000000134
8070	S000000134
8623	S000000134
9338	S000000134
8280	S000000135
9193	S000000135
8711	S000000135
7355	S000000135
9041	S000000135
9077	S000000135
6515	S000000136
5649	S000000136
7868	S000000137
8712	S000000137
8448	S000000137
7998	S000000137
9133	S000000137
8477	S000000137
8061	S000000137
8330	S000000137
9212	S000000137
8598	S000000137
5485	S000000138
8753	S000000139
5249	S000000139
7511	S000000141
7197	S000000141
7801	S000000141
7800	S000000141
8573	S000000141
8753	S000000142
5249	S000000142
8494	S000000142
9158	S000000142
7413	S000000142
8803	S000000143
8499	S000000143
9365	S000000143
8473	S000000143
9306	S000000143
9920	S000000143
9540	S000000143
6919	S000000143
9079	S000000143
8119	S000000143
9475	S000000143
7243	S000000143
5402	S000000144
5258	S000000145
5402	S000000145
8941	S000000146
9592	S000000146
8841	S000000146
9568	S000000146
8073	S000000146
8426	S000000146
9338	S000000146
8780	S000000146
9046	S000000146
8226	S000000146
9496	S000000146
9071	S000000146
9650	S000000146
9651	S000000146
9365	S000000147
9540	S000000147
7275	S000000147
6557	S000000147
9776	S000000148
7772	S000000148
8079	S000000148
9676	S000000148
7983	S000000151
8442	S000000151
6289	S000000151
5302	S000000151
9780	S000000151
7876	S000000151
6813	S000000152
8023	S000000152
7091	S000000152
5590	S000000152
8342	S000000152
9193	S000000153
7808	S000000153
6290	S000000153
7868	S000000154
9211	S000000154
10019	S000000154
8341	S000000154
9668	S000000154
7247	S000000154
6042	S000000155
6340	S000000156
8867	S000000156
7089	S000000156
7665	S000000157
9344	S000000157
8700	S000000157
9366	S000000157
9365	S000000157
8727	S000000157
7701	S000000157
9427	S000000157
9338	S000000157
9076	S000000157
9470	S000000157
9475	S000000157
9304	S000000157
9265	S000000157
5630	S000000157
7665	S000000158
9344	S000000158
8700	S000000158
9366	S000000158
9365	S000000158
8727	S000000158
9306	S000000158
7701	S000000158
9427	S000000158
5961	S000000158
9338	S000000158
7928	S000000158
7898	S000000158
9076	S000000158
9079	S000000158
9470	S000000158
9475	S000000158
9304	S000000158
6822	S000000158
9265	S000000158
7469	S000000158
6817	S000000159
9668	S000000159
8791	S000000159
5611	S000000160
7434	S000000162
6324	S000000162
9064	S000000162
8069	S000000163
9338	S000000163
8628	S000000163
6894	S000000163
7844	S000000164
6258	S000000165
8140	S000000167
6746	S000000167
6107	S000000167
9519	S000000168
9816	S000000168
9538	S000000168
9533	S000000168
9524	S000000168
9503	S000000168
9500	S000000168
9505	S000000168
8854	S000000168
8459	S000000168
9561	S000000168
9564	S000000168
9920	S000000168
9550	S000000168
9535	S000000168
9051	S000000168
8782	S000000168
7613	S000000168
8221	S000000168
9238	S000000168
9587	S000000168
6262	S000000168
9060	S000000168
9615	S000000168
8773	S000000168
8949	S000000170
7552	S000000170
9597	S000000170
7789	S000000170
7963	S000000171
8909	S000000171
9318	S000000171
8957	S000000171
6220	S000000172
9651	S000000172
8956	S000000172
8011	S000000174
9568	S000000174
9149	S000000174
9030	S000000174
7759	S000000174
8226	S000000174
