S000001726	YKR018C		S000005311	YNR028W	CPR8
S000004433	YLR441C	RPS1A	S000005708	YOR182C	RPS30B
S000004440	YLR448W	RPL6B	S000005040	YNL096C	RPS7B
S000003855	YJR094W-A	RPL43B	S000006001	YPL080C	
S000004729	YMR122C		S000005537	YOR011W	AUS1
S000004481	YML019W	OST6	S000004756	YMR148W	OSW5
S000001076	YHR034C	PIH1	S000001108	YHR066W	SSF1
S000001596	YKL113C	RAD27	S000005670	YOR144C	ELG1
S000005025	YNL081C	SWS2	S000005591	YOR065W	CYT1
S000002246	YDL088C	ASM4	S000001210	YHR167W	THP2
S000002894	YDR486C	VPS60	S000005615	YOR089C	VPS21
S000002880	YDR472W	TRS31	S000004996	YNL051W	COG5
S000000907	YER105C	NUP157	S000004008	YLR018C	POM34
S000003136	YGL168W	HUR1	S000003309	YGR077C	PEX8
S000002880	YDR472W	TRS31	S000001947	YFR051C	RET2
S000002946	YDR538W	PAD1	S000001417	YIL155C	GUT2
S000003581	YJL045W		S000006355	YPR151C	SUE1
S000000514	YCL008C	STP22	S000004682	YMR077C	VPS20
S000006256	YPR052C	NHP6A	S000006261	YPR057W	BRR1
S000002229	YDL071C		S000006227	YPR023C	EAF3
S000001900	YFR004W	RPN11	S000001948	YFR052W	RPN12
S000001662	YKL179C	COY1	S000003961	YLL038C	ENT4
S000001937	YFR041C	ERJ5	S000001659	YKL176C	LST4
S000001855	YFL039C	ACT1	S000005450	YOL090W	MSH2
S000002743	YDR335W	MSN5	S000004639	YMR036C	MIH1
S000003634	YJL098W	SAP185	S000004967	YNL022C	
S000003627	YJL091C	GWT1	S000004757	YMR149W	SWP1
S000005962	YPL041C		S000006234	YPR030W	CSR2
S000004435	YLR443W	ECM7	S000005033	YNL089C	
S000002874	YDR466W	PKH3	S000006002	YPL081W	RPS9A
S000003130	YGL162W	SUT1	S000003471	YGR239C	PEX21
S000002421	YDR014W	RAD61	S000003610	YJL074C	SMC3
S000001121	YHR079C	IRE1	S000001673	YKL190W	CNB1
S000003095	YGL127C	SOH1	S000004582	YML114C	TAF8
S000001761	YKR053C	YSR3	S000005201	YNL257C	SIP3
S000002518	YDR111C	ALT2	S000000984	YER182W	FMP10
S000002362	YDL203C	ACK1	S000001121	YHR079C	IRE1
S000002359	YDL200C	MGT1	S000002618	YDR210W	
S000003475	YGR243W	FMP43	S000004498	YML035C	AMD1
S000001533	YKL050C		S000004155	YLR165C	PUS5
S000001102	YHR060W	VMA22	S000004439	YLR447C	VMA6
S000003911	YJR150C	DAN1	S000001810	YKR102W	FLO10
S000000009	YAL011W	SWC3	S000004075	YLR085C	ARP6
S000004843	YMR230W	RPS10B	S000006001	YPL080C	
S000000302	YBR098W	MMS4	S000004837	YMR224C	MRE11
S000004908	YMR294W	JNM1	S000005024	YNL080C	EOS1
S000000131	YBL035C	POL12	S000003804	YJR043C	POL32
S000004053	YLR063W		S000004382	YLR390W	ECM19
S000004363	YLR371W	ROM2	S000005023	YNL079C	TPM1
S000000084	YAR050W	FLO1	S000006221	YPR017C	DSS4
S000004631	YMR029C	FAR8	S000004656	YMR052W	FAR3
S000002598	YDR190C	RVB1	S000005609	YOR083W	WHI5
S000004144	YLR154C	RNH203	S000005670	YOR144C	ELG1
S000002490	YDR083W	RRP8	S000001765	YKR057W	RPS21A
S000004359	YLR367W	RPS22B	S000005040	YNL096C	RPS7B
S000000433	YBR229C	ROT2	S000004324	YLR332W	MID2
S000002655	YDR247W	VHS1	S000003401	YGR169C	PUS6
