S000003661	YJL125C	GCD14	S000005006	YNL062C	GCD10
S000003556	YJL019W	MPS3	S000005464	YOL104C	NDJ1
S000004470	YML010W	SPT5	S000005192	YNL248C	RPA49
S000004468	YML009C	MRPL39	S000005228	YNL284C	MRPL10
S000002574	YDR167W	TAF10	S000002800	YDR392W	SPT3
S000004853	YMR240C	CUS1	S000005835	YOR308C	SNU66
S000002218	YDL060W	TSR1	S000005151	YNL207W	RIO2
S000003265	YGR033C	TIM21	S000005300	YNR017W	TIM23
S000000168	YBL072C	RPS8A	S000005604	YOR078W	BUD21
S000001605	YKL122C	SRP21	S000006131	YPL210C	SRP72
S000000905	YER103W	SSA4	S000003360	YGR128C	UTP8
S000000065	YAR007C	RFA1	S000000662	YCR066W	RAD18
S000002284	YDL126C	CDC48	S000000814	YER012W	PRE1
S000004187	YLR197W	NOP56	S000005604	YOR078W	BUD21
S000002728	YDR320C	SWA2	S000003896	YJR135C	MCM22
S000003999	YLR009W	RLP24	S000005005	YNL061W	NOP2
S000000015	YAL017W	PSK1	S000005405	YOL045W	PSK2
S000003484	YGR252W	GCN5	S000005816	YOR290C	SNF2
S000000668	YCR072C	RSA4	S000006220	YPR016C	TIF6
S000001609	YKL126W	YPK1	S000005330	YNR047W	FPK1
S000002791	YDR383C	NKP1	S000001449	YIR010W	DSN1
S000002800	YDR392W	SPT3	S000005508	YOL148C	SPT20
S000002552	YDR145W	TAF12	S000004840	YMR227C	TAF7
S000001900	YFR004W	RPN11	S000001948	YFR052W	RPN12
S000003096	YGL128C	CWC23	S000004265	YLR275W	SMD2
S000002632	YDR224C	HTB1	S000005415	YOL054W	PSH1
S000002831	YDR423C	CAD1	S000003126	YGL158W	RCK1
S000003494	YGR262C	BUD32	S000001248	YHR205W	SCH9
S000000264	YBR060C	ORC2	S000005929	YPL008W	CHL1
S000004736	YMR129W	POM152	S000006027	YPL106C	SSE1
S000002508	YDR101C	ARX1	S000003477	YGR245C	SDA1
S000003470	YGR238C	KEL2	S000001201	YHR158C	KEL1
S000002201	YDL043C	PRP11	S000004513	YML049C	RSE1
S000000235	YBR031W	RPL4A	S000003645	YJL109C	UTP10
S000000213	YBR009C	HHF1	S000001532	YKL049C	CSE4
S000003927	YLL004W	ORC3	S000006366	YPR162C	ORC4
S000002189	YDL031W	DBP10	S000001894	YFL002C	SPB4
S000001835	YFL059W	SNZ3	S000005278	YNL334C	SNO2
S000002574	YDR167W	TAF10	S000001141	YHR099W	TRA1
S000000004	YAL005C	SSA1	S000006029	YPL108W	
S000002969	YGL001C	ERG26	S000003292	YGR060W	ERG25
S000001102	YHR060W	VMA22	S000004439	YLR447C	VMA6
S000004901	YMR288W	HSH155	S000005230	YNL286W	CUS2
S000001900	YFR004W	RPN11	S000004931	YMR314W	PRE5
S000000009	YAL011W	SWC3	S000004075	YLR085C	ARP6
S000003413	YGR181W	TIM13	S000007348	YJR135W-A	TIM8
S000002284	YDL126C	CDC48	S000002349	YDL190C	UFD2
S000000955	YER153C	PET122	S000001910	YFR014C	CMK1
S000003098	YGL130W	CEG1	S000004926	YMR309C	NIP1
S000000979	YER177W	BMH1	S000006234	YPR030W	CSR2
S000006139	YPL218W	SAR1	S000006385	YPR181C	SEC23
S000002467	YDR060W	MAK21	S000005732	YOR206W	NOC2
S000001600	YKL117W	SBA1	S000005171	YNL227C	JJJ1
S000001910	YFR014C	CMK1	S000001429	YIL167W	SDL1
S000000483	YBR279W	PAF1	S000004410	YLR418C	CDC73
S000000168	YBL072C	RPS8A	S000005252	YNL308C	KRI1
S000002732	YDR324C	UTP4	S000000781	YEL055C	POL5
S000003080	YGL112C	TAF6	S000004564	YML098W	TAF13
S000000099	YBL003C	HTA2	S000004264	YLR274W	MCM5
S000000122	YBL026W	LSM2	S000002881	YDR473C	PRP3
S000003793	YJR032W	CPR7	S000005274	YNL330C	RPD3
S000001578	YKL095W	YJU2	S000006072	YPL151C	PRP46
S000000309	YBR105C	VID24	S000004665	YMR061W	RNA14
S000002420	YDR013W	PSF1	S000003608	YJL072C	PSF2
S000004103	YLR113W	HOG1	S000004238	YLR248W	RCK2
S000001714	YKR006C	MRPL13	S000004487	YML025C	YML6
S000005057	YNL113W	RPC19	S000006214	YPR010C	RPA135
S000001141	YHR099W	TRA1	S000005770	YOR244W	ESA1
S000000397	YBR193C	MED8	S000004061	YLR071C	RGR1
S000002633	YDR225W	HTA1	S000002918	YDR510W	SMT3
S000002755	YDR347W	MRP1	S000003097	YGL129C	RSM23
S000006007	YPL086C	ELP3	S000006022	YPL101W	ELP4
S000002504	YDR097C	MSH6	S000001441	YIR002C	MPH1
S000004282	YLR291C	GCD7	S000005188	YNL244C	SUI1
S000004952	YNL007C	SIS1	S000005199	YNL255C	GIS2
S000002299	YDL140C	RPO21	S000005195	YNL251C	NRD1
S000000099	YBL003C	HTA2	S000000449	YBR245C	ISW1
S000001026	YHL034C	SBP1	S000003726	YJL190C	RPS22A
S000004815	YMR202W	ERG2	S000005224	YNL280C	ERG24
S000003530	YHR005C-A	TIM10	S000001678	YKL195W	MIA40
S000007348	YJR135W-A	TIM8	S000005300	YNR017W	TIM23
S000002366	YDL207W	GLE1	S000001551	YKL068W	NUP100
S000002258	YDL100C	GET3	S000002988	YGL020C	GET1
S000002299	YDL140C	RPO21	S000004732	YMR125W	STO1
S000000433	YBR229C	ROT2	S000004532	YML067C	ERV41
S000002172	YDL014W	NOP1	S000001094	YHR052W	CIC1
S000004019	YLR029C	RPL15A	S000005199	YNL255C	GIS2
S000004560	YML095C	RAD10	S000005943	YPL022W	RAD1
S000002583	YDR176W	NGG1	S000000950	YER148W	SPT15
S000002971	YGL003C	CDH1	S000001584	YKL101W	HSL1
S000003539	YJL002C	OST1	S000004481	YML019W	OST6
S000000299	YBR095C	RXT2	S000005041	YNL097C	PHO23
S000001283	YIL021W	RPB3	S000005736	YOR210W	RPB10
S000000330	YBR126C	TPS1	S000002481	YDR074W	TPS2
S000003397	YGR165W	MRPS35	S000005081	YNL137C	NAM9
S000002772	YDR364C	CDC40	S000003959	YLL036C	PRP19
S000002973	YGL005C	COG7	S000006309	YPR105C	COG4
S000000824	YER022W	SRB4	S000005411	YOL051W	GAL11
S000001421	YIL159W	BNR1	S000004635	YMR032W	HOF1
S000003148	YGL180W	ATG1	S000004415	YLR423C	ATG17
S000004577	YML109W	ZDS2	S000004886	YMR273C	ZDS1
S000005195	YNL251C	NRD1	S000005527	YOR001W	RRP6
S000002379	YDL220C	CDC13	S000004223	YLR233C	EST1
S000004846	YMR233W	TRI1	S000005366	YOL006C	TOP1
S000000774	YEL048C	TCA17	S000001776	YKR068C	BET3
S000001125	YHR083W	SAM35	S000004971	YNL026W	SAM50
S000002726	YDR318W	MCM21	S000003873	YJR112W	NNF1
S000002918	YDR510W	SMT3	S000000849	YER047C	SAP1
S000002965	YFL017W-A	SMX2	S000003323	YGR091W	PRP31
S000000814	YER012W	PRE1	S000003016	YGL048C	RPT6
S000003335	YGR103W	NOP7	S000004903	YMR290C	HAS1
S000002582	YDR175C	RSM24	S000005684	YOR158W	PET123
S000002388	YDL229W	SSB1	S000005056	YNL112W	DBP2
S000001127	YHR085W	IPI1	S000005336	YNR053C	NOG2
S000002362	YDL203C	ACK1	S000003290	YGR058W	PEF1
S000002719	YDR311W	TFB1	S000001511	YKL028W	TFA1
S000002274	YDL116W	NUP84	S000002600	YDR192C	NUP42
S000002815	YDR407C	TRS120	S000005641	YOR115C	TRS33
S000000214	YBR010W	HHT1	S000003704	YJL168C	SET2
S000003651	YJL115W	ASF1	S000006074	YPL153C	RAD53
S000005228	YNL284C	MRPL10	S000005727	YOR201C	MRM1
S000003631	YJL095W	BCK1	S000001612	YKL129C	MYO3
S000002918	YDR510W	SMT3	S000004802	YMR190C	SGS1
S000000119	YBL023C	MCM2	S000001412	YIL150C	MCM10
S000003957	YLL034C	RIX7	S000006132	YPL211W	NIP7
S000003140	YGL172W	NUP49	S000001540	YKL057C	NUP120
S000003213	YGL244W	RTF1	S000005649	YOR123C	LEO1
S000005329	YNR046W	TRM112	S000005484	YOL124C	TRM11
S000000953	YER151C	UBP3	S000005442	YOL082W	ATG19
S000000004	YAL005C	SSA1	S000000319	YBR115C	LYS2
S000000638	YCR042C	TAF2	S000002574	YDR167W	TAF10
S000002245	YDL087C	LUC7	S000004513	YML049C	RSE1
S000002467	YDR060W	MAK21	S000004842	YMR229C	RRP5
S000001444	YIR005W	IST3	S000004853	YMR240C	CUS1
S000000288	YBR084W	MIS1	S000004332	YLR340W	RPP0
S000002388	YDL229W	SSB1	S000002973	YGL005C	COG7
S000007235	YDR363W-A	SEM1	S000005787	YOR261C	RPN8
S000002562	YDR155C	CPR1	S000001374	YIL112W	HOS4
S000000935	YER133W	GLC7	S000001900	YFR004W	RPN11
S000003245	YGR013W	SNU71	S000006099	YPL178W	CBC2
S000001592	YKL109W	HAP4	S000005885	YOR358W	HAP5
S000003577	YJL041W	NSP1	S000004304	YLR312W-A	MRPL15
S000002388	YDL229W	SSB1	S000001374	YIL112W	HOS4
S000000235	YBR031W	RPL4A	S000000346	YBR142W	MAK5
S000005004	YNL059C	ARP5	S000006156	YPL235W	RVB2
S000002906	YDR498C	SEC20	S000004432	YLR440C	SEC39
S000002971	YGL003C	CDH1	S000006323	YPR119W	CLB2
S000003783	YJR022W	LSM8	S000005091	YNL147W	LSM7
S000001644	YKL161C	KDX1	S000006010	YPL089C	RLM1
S000000838	YER036C	ARB1	S000005730	YOR204W	DED1
S000002388	YDL229W	SSB1	S000005606	YOR080W	DIA2
S000001856	YFL038C	YPT1	S000006380	YPR176C	BET2
S000003323	YGR091W	PRP31	S000006434	YLR438C-A	LSM3
S000002993	YGL025C	PGD1	S000001083	YHR041C	SRB2
S000002388	YDL229W	SSB1	S000006309	YPR105C	COG4
S000002918	YDR510W	SMT3	S000003496	YGR264C	MES1
S000003617	YJL081C	ARP4	S000004391	YLR399C	BDF1
S000001025	YHL033C	RPL8A	S000001710	YKR002W	PAP1
S000001924	YFR028C	CDC14	S000001368	YIL106W	MOB1
S000006134	YPL213W	LEA1	S000006382	YPR178W	PRP4
S000000306	YBR102C	EXO84	S000004563	YML097C	VPS9
S000000653	YCR057C	PWP2	S000003645	YJL109C	UTP10
S000001906	YFR010W	UBP6	S000004413	YLR421C	RPN13
S000000099	YBL003C	HTA2	S000000148	YBL052C	SAS3
S000003968	YLL045C	RPL8B	S000006132	YPL211W	NIP7
S000003962	YLL039C	UBI4	S000004528	YML063W	RPS1B
S000005056	YNL112W	DBP2	S000005199	YNL255C	GIS2
S000002815	YDR407C	TRS120	S000003398	YGR166W	TRS65
S000002856	YDR448W	ADA2	S000003034	YGL066W	SGF73
S000002652	YDR244W	PEX5	S000004506	YML042W	CAT2
S000003066	YGL098W	USE1	S000003113	YGL145W	TIP20
S000001900	YFR004W	RPN11	S000001665	YKL182W	FAS1
S000006439	YCR020W-B	HTL1	S000004636	YMR033W	ARP9
S000000100	YBL004W	UTP20	S000005228	YNL284C	MRPL10
S000000402	YBR198C	TAF5	S000001141	YHR099W	TRA1
S000000374	YBR170C	NPL4	S000001696	YKL213C	DOA1
S000002508	YDR101C	ARX1	S000001492	YKL009W	MRT4
S000002367	YDL208W	NHP2	S000002372	YDL213C	NOP6
S000004467	YML008C	ERG6	S000005224	YNL280C	ERG24
S000000818	YER016W	BIM1	S000006190	YPL269W	KAR9
S000000119	YBL023C	MCM2	S000000758	YEL032W	MCM3
S000000213	YBR009C	HHF1	S000003175	YGL207W	SPT16
S000000957	YER155C	BEM2	S000003634	YJL098W	SAP185
S000002388	YDL229W	SSB1	S000002529	YDR122W	KIN1
S000005401	YOL041C	NOP12	S000005732	YOR206W	NOC2
S000000668	YCR072C	RSA4	S000000808	YER006W	NUG1
S000003118	YGL150C	INO80	S000004975	YNL030W	HHF2
