"SUID","canonicalName","Edge_conflicts","interaction","name","NeXO relation type","selected","shared interaction","shared name"
"14639","6072 (pp) 5374","","pp","6072 (pp) 5374","parent_of","false","pp","6072 (pp) 5374"
"31571","7550 (4) S000004754","","4","7550 (4) S000004754","additional_gene_association","false","4","7550 (4) S000004754"
"18661","8067 (1) 8411","","1","8067 (1) 8411","additional_parent_of","false","1","8067 (1) 8411"
"17424","7534 (pp) 7088","","pp","7534 (pp) 7088","parent_of","false","pp","7534 (pp) 7088"
"18882","9597 (1) 7991","","1","9597 (1) 7991","additional_parent_of","false","1","9597 (1) 7991"
"19753","5425 (1) 8091","","1","5425 (1) 8091","additional_parent_of","false","1","5425 (1) 8091"
"28672","7759 (2) S000001917","","2","7759 (2) S000001917","additional_gene_association","false","2","7759 (2) S000001917"
"32629","8026 (2) S000004007","","2","8026 (2) S000004007","additional_gene_association","false","2","8026 (2) S000004007"
"14911","7970 (pp) S000004808","","pp","7970 (pp) S000004808","gene_association","false","pp","7970 (pp) S000004808"
"12384","5157 (pp) S000000274","","pp","5157 (pp) S000000274","gene_association","false","pp","5157 (pp) S000000274"
"17742","6522 (pp) S000003196","","pp","6522 (pp) S000003196","gene_association","false","pp","6522 (pp) S000003196"
"28906","9920 (2) S000000605","","2","9920 (2) S000000605","additional_gene_association","false","2","9920 (2) S000000605"
"14618","5911 (pp) S000004753","","pp","5911 (pp) S000004753","gene_association","false","pp","5911 (pp) S000004753"
"17238","7576 (pp) 7168","perfect","pp","7576 (pp) 7168","parent_of","false","pp","7576 (pp) 7168"
"31940","8866 (2) S000003257","","2","8866 (2) S000003257","additional_gene_association","false","2","8866 (2) S000003257"
"42291","5165 (2) S000000219","","2","5165 (2) S000000219","additional_gene_association","false","2","5165 (2) S000000219"
"22827","8623 (2) S000006374","","2","8623 (2) S000006374","additional_gene_association","false","2","8623 (2) S000006374"
"16553","5257 (pp) S000003671","","pp","5257 (pp) S000003671","gene_association","false","pp","5257 (pp) S000003671"
"9397","7218 (pp) S000002704","","pp","7218 (pp) S000002704","gene_association","false","pp","7218 (pp) S000002704"
"25454","9302 (2) S000002838","","2","9302 (2) S000002838","additional_gene_association","false","2","9302 (2) S000002838"
"36240","6360 (2) S000005641","","2","6360 (2) S000005641","additional_gene_association","false","2","6360 (2) S000005641"
"42617","9064 (2) S000003542","","2","9064 (2) S000003542","additional_gene_association","false","2","9064 (2) S000003542"
"43785","8252 (2) S000000345","","2","8252 (2) S000000345","additional_gene_association","false","2","8252 (2) S000000345"
"10395","5710 (pp) 5459","perfect","pp","5710 (pp) 5459","parent_of","false","pp","5710 (pp) 5459"
"34183","7120 (2) S000001130","","2","7120 (2) S000001130","additional_gene_association","false","2","7120 (2) S000001130"
"32531","7893 (4) S000000117","","4","7893 (4) S000000117","additional_gene_association","false","4","7893 (4) S000000117"
"38501","8400 (3) 9197","","3","8400 (3) 9197","additional_parent_of","false","3","8400 (3) 9197"
"38777","6040 (2) S000003982","","2","6040 (2) S000003982","additional_gene_association","false","2","6040 (2) S000003982"
"38494","8091 (2) S000005432","","2","8091 (2) S000005432","additional_gene_association","false","2","8091 (2) S000005432"
"14797","6669 (pp) 6008","","pp","6669 (pp) 6008","parent_of","false","pp","6669 (pp) 6008"
"22892","7847 (2) S000004650","","2","7847 (2) S000004650","additional_gene_association","false","2","7847 (2) S000004650"
"23774","8392 (2) S000005242","","2","8392 (2) S000005242","additional_gene_association","false","2","8392 (2) S000005242"
"30503","7614 (2) S000005301","","2","7614 (2) S000005301","additional_gene_association","false","2","7614 (2) S000005301"
"32675","8570 (2) S000002487","","2","8570 (2) S000002487","additional_gene_association","false","2","8570 (2) S000002487"
"43492","8780 (4) S000002597","","4","8780 (4) S000002597","additional_gene_association","false","4","8780 (4) S000002597"
"38402","7482 (2) S000002566","","2","7482 (2) S000002566","additional_gene_association","false","2","7482 (2) S000002566"
"38893","9241 (2) S000004332","","2","9241 (2) S000004332","additional_gene_association","false","2","9241 (2) S000004332"
"27748","8358 (4) S000003598","","4","8358 (4) S000003598","additional_gene_association","false","4","8358 (4) S000003598"
"42680","8160 (2) S000000996","","2","8160 (2) S000000996","additional_gene_association","false","2","8160 (2) S000000996"
"39275","8112 (2) S000005127","","2","8112 (2) S000005127","additional_gene_association","false","2","8112 (2) S000005127"
"25475","9306 (3) 8275","","3","9306 (3) 8275","additional_parent_of","false","3","9306 (3) 8275"
"16506","8971 (pp) 7859","perfect","pp","8971 (pp) 7859","parent_of","false","pp","8971 (pp) 7859"
"11528","9728 (pp) 9010","","pp","9728 (pp) 9010","parent_of","false","pp","9728 (pp) 9010"
"25387","9651 (2) S000005486","","2","9651 (2) S000005486","additional_gene_association","false","2","9651 (2) S000005486"
"11117","7169 (pp) S000000008","","pp","7169 (pp) S000000008","gene_association","false","pp","7169 (pp) S000000008"
"39222","5605 (2) S000005042","","2","5605 (2) S000005042","additional_gene_association","false","2","5605 (2) S000005042"
"32080","6233 (2) S000003911","","2","6233 (2) S000003911","additional_gene_association","false","2","6233 (2) S000003911"
"36938","8557 (2) S000002273","","2","8557 (2) S000002273","additional_gene_association","false","2","8557 (2) S000002273"
"31502","8032 (2) S000001562","","2","8032 (2) S000001562","additional_gene_association","false","2","8032 (2) S000001562"
"17593","8759 (pp) 8358","","pp","8759 (pp) 8358","parent_of","false","pp","8759 (pp) 8358"
"41356","10000 (2) S000001556","","2","10000 (2) S000001556","additional_gene_association","false","2","10000 (2) S000001556"
"22438","9312 (4) S000003162","","4","9312 (4) S000003162","additional_gene_association","false","4","9312 (4) S000003162"
"22166","9427 (2) S000004354","","2","9427 (2) S000004354","additional_gene_association","false","2","9427 (2) S000004354"
"25585","6441 (4) S000005923","","4","6441 (4) S000005923","additional_gene_association","false","4","6441 (4) S000005923"
"12608","7625 (pp) 5464","","pp","7625 (pp) 5464","parent_of","false","pp","7625 (pp) 5464"
"10555","6949 (pp) S000007256","","pp","6949 (pp) S000007256","gene_association","false","pp","6949 (pp) S000007256"
"18212","5948 (pp) S000001940","","pp","5948 (pp) S000001940","gene_association","false","pp","5948 (pp) S000001940"
"40329","6010 (2) S000001933","","2","6010 (2) S000001933","additional_gene_association","false","2","6010 (2) S000001933"
"36181","9295 (4) S000001789","","4","9295 (4) S000001789","additional_gene_association","false","4","9295 (4) S000001789"
"17956","9137 (pp) S000004103","","pp","9137 (pp) S000004103","gene_association","false","pp","9137 (pp) S000004103"
"31203","9561 (4) S000001007","","4","9561 (4) S000001007","additional_gene_association","false","4","9561 (4) S000001007"
"32331","9540 (2) S000004775","","2","9540 (2) S000004775","additional_gene_association","false","2","9540 (2) S000004775"
"19083","6854 (1) 9039","","1","6854 (1) 9039","additional_parent_of","false","1","6854 (1) 9039"
"15391","5957 (pp) 5956","","pp","5957 (pp) 5956","parent_of","false","pp","5957 (pp) 5956"
"22623","7339 (2) S000002388","","2","7339 (2) S000002388","additional_gene_association","false","2","7339 (2) S000002388"
"25440","9302 (2) S000002894","","2","9302 (2) S000002894","additional_gene_association","false","2","9302 (2) S000002894"
"21349","9363 (3) 8448","","3","9363 (3) 8448","additional_parent_of","false","3","9363 (3) 8448"
"18355","9046 (1) 7584","","1","9046 (1) 7584","additional_parent_of","false","1","9046 (1) 7584"
"38446","8280 (2) S000004831","","2","8280 (2) S000004831","additional_gene_association","false","2","8280 (2) S000004831"
"16761","7489 (pp) 6838","perfect","pp","7489 (pp) 6838","parent_of","false","pp","7489 (pp) 6838"
"33056","7118 (2) S000002537","","2","7118 (2) S000002537","additional_gene_association","false","2","7118 (2) S000002537"
"35097","9137 (2) S000003246","","2","9137 (2) S000003246","additional_gene_association","false","2","9137 (2) S000003246"
"37874","7371 (2) S000001586","","2","7371 (2) S000001586","additional_gene_association","false","2","7371 (2) S000001586"
"17366","6563 (pp) S000000911","","pp","6563 (pp) S000000911","gene_association","false","pp","6563 (pp) S000000911"
"19572","9658 (1) 9270","","1","9658 (1) 9270","additional_parent_of","false","1","9658 (1) 9270"
"14916","8787 (pp) 7719","perfect","pp","8787 (pp) 7719","parent_of","false","pp","8787 (pp) 7719"
"30902","9780 (4) S000000467","","4","9780 (4) S000000467","additional_gene_association","false","4","9780 (4) S000000467"
"25445","9302 (2) S000004840","","2","9302 (2) S000004840","additional_gene_association","false","2","9302 (2) S000004840"
"29657","8472 (2) S000006339","","2","8472 (2) S000006339","additional_gene_association","false","2","8472 (2) S000006339"
"25766","9403 (4) S000005006","","4","9403 (4) S000005006","additional_gene_association","false","4","9403 (4) S000005006"
"28663","7759 (4) S000003965","","4","7759 (4) S000003965","additional_gene_association","false","4","7759 (4) S000003965"
"12460","9308 (pp) 8858","","pp","9308 (pp) 8858","parent_of","false","pp","9308 (pp) 8858"
"16011","7973 (pp) 7066","","pp","7973 (pp) 7066","parent_of","false","pp","7973 (pp) 7066"
"22783","9347 (4) S000004481","","4","9347 (4) S000004481","additional_gene_association","false","4","9347 (4) S000004481"
"15633","6130 (pp) 6101","","pp","6130 (pp) 6101","parent_of","false","pp","6130 (pp) 6101"
"10689","9177 (pp) S000005287","","pp","9177 (pp) S000005287","gene_association","false","pp","9177 (pp) S000005287"
"36159","9291 (2) S000006373","","2","9291 (2) S000006373","additional_gene_association","false","2","9291 (2) S000006373"
"27296","7952 (4) S000005243","","4","7952 (4) S000005243","additional_gene_association","false","4","7952 (4) S000005243"
"16468","7226 (pp) S000003937","","pp","7226 (pp) S000003937","gene_association","false","pp","7226 (pp) S000003937"
"27550","8393 (2) S000000441","","2","8393 (2) S000000441","additional_gene_association","false","2","8393 (2) S000000441"
"25579","9301 (2) S000002871","","2","9301 (2) S000002871","additional_gene_association","false","2","9301 (2) S000002871"
"29735","8079 (2) S000003175","","2","8079 (2) S000003175","additional_gene_association","false","2","8079 (2) S000003175"
"37768","6028 (4) S000003432","","4","6028 (4) S000003432","additional_gene_association","false","4","6028 (4) S000003432"
"24309","8817 (2) S000002408","","2","8817 (2) S000002408","additional_gene_association","false","2","8817 (2) S000002408"
"34315","6813 (2) S000001121","","2","6813 (2) S000001121","additional_gene_association","false","2","6813 (2) S000001121"
"38848","9241 (2) S000004855","","2","9241 (2) S000004855","additional_gene_association","false","2","9241 (2) S000004855"
"42692","5311 (2) S000003498","","2","5311 (2) S000003498","additional_gene_association","false","2","5311 (2) S000003498"
"32094","9657 (4) S000004976","","4","9657 (4) S000004976","additional_gene_association","false","4","9657 (4) S000004976"
"39205","8704 (2) S000004925","","2","8704 (2) S000004925","additional_gene_association","false","2","8704 (2) S000004925"
"19267","8590 (1) 8582","","1","8590 (1) 8582","additional_parent_of","false","1","8590 (1) 8582"
"13914","7007 (pp) S000000856","","pp","7007 (pp) S000000856","gene_association","false","pp","7007 (pp) S000000856"
"34920","7810 (2) S000000772","","2","7810 (2) S000000772","additional_gene_association","false","2","7810 (2) S000000772"
"42726","8573 (2) S000003294","","2","8573 (2) S000003294","additional_gene_association","false","2","8573 (2) S000003294"
"41999","9046 (2) S000001102","","2","9046 (2) S000001102","additional_gene_association","false","2","9046 (2) S000001102"
"20360","6383 (2) S000000833","","2","6383 (2) S000000833","additional_gene_association","false","2","6383 (2) S000000833"
"39465","8696 (2) S000002598","","2","8696 (2) S000002598","additional_gene_association","false","2","8696 (2) S000002598"
"34193","8011 (2) S000004876","","2","8011 (2) S000004876","additional_gene_association","false","2","8011 (2) S000004876"
"30946","9780 (4) S000004533","","4","9780 (4) S000004533","additional_gene_association","false","4","9780 (4) S000004533"
"28641","7757 (2) S000003432","","2","7757 (2) S000003432","additional_gene_association","false","2","7757 (2) S000003432"
"12797","7081 (pp) S000006044","","pp","7081 (pp) S000006044","gene_association","false","pp","7081 (pp) S000006044"
"26703","8535 (2) S000002873","","2","8535 (2) S000002873","additional_gene_association","false","2","8535 (2) S000002873"
"14974","9724 (pp) 9197","","pp","9724 (pp) 9197","parent_of","false","pp","9724 (pp) 9197"
"42077","8493 (4) S000004989","","4","8493 (4) S000004989","additional_gene_association","false","4","8493 (4) S000004989"
"36104","9291 (4) S000001492","","4","9291 (4) S000001492","additional_gene_association","false","4","9291 (4) S000001492"
"10787","9204 (pp) S000002362","","pp","9204 (pp) S000002362","gene_association","false","pp","9204 (pp) S000002362"
